PLN;EUR;Typ;Uwagi;Ponosiciel
94,27;;Nocleg;;Monisia
89,12;;Nocleg;;Monisia
144,37;;Nocleg;;Monisia
29,94;;Nocleg;;Monisia
54,95;;Nocleg;;Monisia
54,95;;Nocleg;;Monisia
98,66;;Nocleg;;Monisia
337;;Nocleg;;Monisia
262,54;59,98;Samolot;bilet lotniczy;Monisia
238;;Samolot;bilet lotniczy;Monisia
18,35;4,4;Transport;;Monisia
15;;Jedzenie;;Michal
17;;Jedzenie;;Michal
13;;Kawa;;Michal
13;;Kawa;;Michal
13,34;3,2;Jedzenie;;Monisia
71,97;16,1;Transport;barcelona tarragona;Monisia
148;;Transport;tarragona walencja;Michal
56,71;13,6;Jedzenie;;Michal
28,56;6,85;Jedzenie;;Michal
16,68;4;Transport;;Monisia
10,01;2,4;Kawa;;Monisia
51,32;11,48;Jedzenie;;Michal
53,64;12;Jedzenie;;Michal
2,5;0,6;Pamiątki;;Monisia
10,01;2,4;Kawa;;Monisia
20,85;5;Nocleg;Wyrownanie Fabio;Monisia
12,51;3;Transport;;Michal
225,74;50,5;Wejściówki;Oceanarium;Michal
2,24;0,5;Jedzenie;;Michal
160,92;36;Transport;Walencja Madryt;Monisia
13,41;3;Transport;;Monisia
22,13;4,95;Jedzenie;;Michal
11,26;2,7;Kawa;;Monisia
33,7;7,8;Jedzenie;;Michal
4,32;1;Wejściówki;;Michal
25,92;6;Jedzenie;;Michal
25,49;5,9;Transport;;Michal
12,31;2,85;Jedzenie;;Michal
245,85;55;Wejściówki;Santiago Bernabeu;Michal
255;57;Transport;Madryt Barcelona;Monisia
13,82;3,2;Kawa;;Monisia
34,56;8;Jedzenie;;Michal
34,56;8;Jedzenie;;Michal
57,89;13,4;Jedzenie;;Michal
14,26;3,3;Kawa;;Monisia
90,72;21;Transport;Montserrat;Michal
33,7;7,8;Jedzenie;;Monisia
5,18;1,2;Jedzenie;;Michal
14,26;3,3;Pamiątki;;Monisia
16,85;3,9;Kawa;;Monisia
99,36;23;Jedzenie;;Michal
15,55;3,6;Kawa;;Monisia
48,17;11,15;Jedzenie;;Michal
